state,class,mean_cases,population,ratio,date
Northern Mariana Islands,green,0,51433,0.0,2021-04-20
Missouri,yellow,79,6151548,1.2842295955424554,2021-04-20
Guam,green,4,168485,2.3740985844437192,2021-04-20
Virgin Islands,green,6,106235,5.64785616792959,2021-04-20
Arkansas,yellow,172,3030522,5.675589881875135,2021-04-20
Hawaii,red,96,1407006,6.822998622607153,2021-04-20
California,yellow,2703,39368078,6.865968920301366,2021-04-20
Mississippi,yellow,218,2966786,7.348019034739951,2021-04-20
Kansas,yellow,216,2913805,7.41298748543571,2021-04-20
Alabama,yellow,399,4921532,8.107231650632365,2021-04-20
Arizona,yellow,680,7421401,9.16269044079413,2021-04-20
New Mexico,yellow,205,2106319,9.732618848332091,2021-04-20
Oklahoma,yellow,402,3980783,10.098515794505754,2021-04-20
Louisiana,yellow,472,4645318,10.16076832630188,2021-04-20
Wyoming,yellow,60,582328,10.303471583025374,2021-04-20
Texas,yellow,3428,29360759,11.675447490986183,2021-04-20
Utah,yellow,388,3249879,11.938906033116925,2021-04-20
Nevada,yellow,398,3138259,12.682190985511394,2021-04-20
Kentucky,yellow,583,4477251,13.021382987015917,2021-04-20
Georgia,yellow,1413,10710017,13.193256369247594,2021-04-20
Idaho,yellow,243,1826913,13.301125997789713,2021-04-20
Montana,yellow,145,1080577,13.4187568308413,2021-04-20
Oregon,red,604,4241507,14.24022169478914,2021-04-20
Iowa,yellow,465,3163561,14.698626010372488,2021-04-20
Washington,red,1157,7693612,15.038450080404369,2021-04-20
Wisconsin,yellow,885,5832655,15.173192997014224,2021-04-20
Nebraska,yellow,312,1937552,16.10279362824843,2021-04-20
District of Columbia,red,116,712816,16.273484321339588,2021-04-20
Ohio,yellow,1991,11693217,17.026965291074305,2021-04-20
Virginia,red,1495,8590563,17.402817487049454,2021-04-20
Indiana,yellow,1225,6754953,18.134841204668632,2021-04-20
South Carolina,yellow,968,5218040,18.551026822331757,2021-04-20
North Carolina,red,1970,10600823,18.583462812274103,2021-04-20
Tennessee,yellow,1322,6886834,19.19604857616722,2021-04-20
North Dakota,yellow,149,765309,19.46926012891525,2021-04-20
Vermont,red,131,623347,21.015582011303493,2021-04-20
South Dakota,yellow,190,892717,21.28334063314578,2021-04-20
West Virginia,red,386,1784787,21.627230588299895,2021-04-20
Maryland,red,1319,6055802,21.78076495896002,2021-04-20
Alaska,red,167,731158,22.840480443351506,2021-04-20
Illinois,red,3244,12587530,25.771537386604045,2021-04-20
Colorado,red,1587,5807719,27.325702224918253,2021-04-20
Massachusetts,red,1982,6893574,28.751413998021924,2021-04-20
Florida,red,6273,21733312,28.863525264810075,2021-04-20
Maine,red,397,1350141,29.404336287839563,2021-04-20
New Hampshire,red,404,1366275,29.569449781339774,2021-04-20
Puerto Rico,red,944,3189068,29.601124842744024,2021-04-20
Connecticut,red,1053,3557006,29.60354860239201,2021-04-20
New York,red,6513,19336776,33.681933327458516,2021-04-20
Pennsylvania,red,4558,12783254,35.65602310647977,2021-04-20
Delaware,red,355,986809,35.97454015924054,2021-04-20
Minnesota,red,2143,5657342,37.8799796795032,2021-04-20
Rhode Island,red,413,1057125,39.06822750384297,2021-04-20
New Jersey,red,3643,8882371,41.01382389904678,2021-04-20
Michigan,red,7341,9966555,73.65634364130835,2021-04-20
